# Source Font Path: ../../Roboto-Regular.ttf
# Output Texture Size: 512
# Encoding: unicode

# Char Code Ranges:(low, high+1) []
# Glyph Bitmap Size for Sampling: 1024
# Ratio Spread to Glyph: 0.2
# Glyph Scaling from Sampling to Packed Signed Dist: 0.013699
# Associated Texture File: RobotoRegular.png
#	Code Point	Glyph Name	Width	Height	Horizontal Bearing X	Horizontal Bearing Y	Horizontal Advance	Vertical Bearing X	Vertical Bearing Y	Vertical Advance	Texture Coord X	Texture Coord Y	Texture Width	Texture Height
SPREAD IN TEXTURE
0.00390625
SPREAD IN FONT METRICS
0.142574
GLYPHS
0X00000001		0	0	0	0	0	0	0.5	1	0.00390625	0.00488281	0	0
0X00000002		0	0	0	0	0	0	0.5	1	0.0117188	0.00488281	0	0
0X00000003		0	0	0	0	0.248047	-0.124023	0.5	1	0.0195312	0.00488281	0	0
0X00000004		0	0	0	0	0.248047	-0.124023	0.5	1	0.0273438	0.00488281	0	0
0X00000005		0.107422	0.716797	0.078125	0.710938	0.257812	-0.0507812	0.141602	1	0.0351562	0.00488281	0.00294315	0.0196388
0X00000006		0.201172	0.241211	0.0664062	0.75	0.320312	-0.09375	0.378906	1	0.046875	0.00488281	0.00551172	0.00660871
0X00000007		0.545898	0.710938	0.0576172	0.710938	0.616211	-0.25	0.144531	1	0.0605469	0.00488281	0.0149566	0.0194783
0X00000008		0.455078	0.929688	0.0537109	0.827148	0.561523	-0.227539	0.0351562	1	0.0839844	0.00488281	0.0124683	0.0254716
0X00000009		0.638672	0.732422	0.0507812	0.72168	0.732422	-0.31543	0.133789	1	0.105469	0.00488281	0.0174984	0.0200669
0X0000000A		0.570312	0.730469	0.0488281	0.720703	0.62207	-0.261719	0.134766	1	0.130859	0.00488281	0.0156255	0.0200134
0X0000000B		0.0742188	0.233398	0.0498047	0.75	0.174805	-0.0371094	0.382812	1	0.15625	0.00488281	0.00203345	0.00639466
0X0000000C		0.258789	1.03223	0.0644531	0.802734	0.341797	-0.106445	-0.0166016	1	0.167969	0.00488281	0.00709032	0.028281
0X0000000D		0.258789	1.03223	0.0185547	0.802734	0.347656	-0.155273	-0.0166016	1	0.183594	0.00488281	0.00709032	0.028281
0X0000000E		0.40332	0.413086	0.0136719	0.710938	0.430664	-0.202148	0.292969	1	0.199219	0.00488281	0.0110502	0.0113178
0X0000000F		0.487305	0.518555	0.0380859	0.589844	0.567383	-0.246094	0.241211	1	0.21875	0.00488281	0.0133512	0.0142074
0X00000010		0.136719	0.249023	0.0136719	0.107422	0.196289	-0.0839844	0.375	1	0.240234	0.00488281	0.00374583	0.00682276
0X00000011		0.239258	0.0742188	0.0175781	0.338867	0.276367	-0.120117	0.462891	1	0.251953	0.00488281	0.0065552	0.00203345
0X00000012		0.112305	0.107422	0.0703125	0.101562	0.263672	-0.0615234	0.446289	1	0.267578	0.00488281	0.00307693	0.00294315
0X00000013		0.374023	0.772461	0.00878906	0.710938	0.412109	-0.197266	0.113281	1	0.279297	0.00488281	0.0102475	0.0211639
0X00000014		0.449219	0.730469	0.0556641	0.720703	0.561523	-0.224609	0.134766	1	0.298828	0.00488281	0.0123077	0.0200134
0X00000015		0.273438	0.714844	0.0830078	0.714844	0.561523	-0.198242	0.142578	1	0.320312	0.00488281	0.00749166	0.0195853
0X00000016		0.480469	0.720703	0.0449219	0.720703	0.561523	-0.235352	0.139648	1	0.335938	0.00488281	0.0131639	0.0197459
0X00000017		0.451172	0.730469	0.0458984	0.720703	0.561523	-0.235352	0.134766	1	0.357422	0.00488281	0.0123612	0.0200134
0X00000018		0.513672	0.710938	0.0253906	0.710938	0.561523	-0.254883	0.144531	1	0.378906	0.00488281	0.0140736	0.0194783
0X00000019		0.447266	0.720703	0.0751953	0.710938	0.561523	-0.206055	0.139648	1	0.402344	0.00488281	0.0122542	0.0197459
0X0000001A		0.449219	0.72168	0.0644531	0.711914	0.561523	-0.216797	0.138672	1	0.423828	0.00488281	0.0123077	0.0197726
0X0000001B		0.481445	0.710938	0.0371094	0.710938	0.561523	-0.243164	0.144531	1	0.445312	0.00488281	0.0131907	0.0194783
0X0000001C		0.452148	0.730469	0.0546875	0.720703	0.561523	-0.226562	0.134766	1	0.466797	0.00488281	0.012388	0.0200134
0X0000001D		0.447266	0.72168	0.0488281	0.720703	0.561523	-0.232422	0.138672	1	0.488281	0.00488281	0.0122542	0.0197726
0X0000001E		0.113281	0.539062	0.0654297	0.533203	0.242188	-0.0556641	0.230469	1	0.509766	0.00488281	0.00310369	0.0147693
0X0000001F		0.147461	0.674805	0.0195312	0.533203	0.211914	-0.0859375	0.162109	1	0.521484	0.00488281	0.00404014	0.0184883
0X00000020		0.399414	0.44043	0.0351562	0.536133	0.508789	-0.219727	0.279297	1	0.535156	0.00488281	0.0109432	0.0120669
0X00000021		0.407227	0.28125	0.0742188	0.476562	0.548828	-0.200195	0.359375	1	0.554688	0.00488281	0.0111572	0.0077057
0X00000022		0.416992	0.44043	0.0654297	0.537109	0.522461	-0.196289	0.279297	1	0.574219	0.00488281	0.0114248	0.0120669
0X00000023		0.396484	0.726562	0.0361328	0.720703	0.472656	-0.200195	0.136719	1	0.59375	0.00488281	0.0108629	0.0199064
0X00000024		0.802734	0.920898	0.0517578	0.699219	0.898438	-0.397461	0.0390625	1	0.613281	0.00488281	0.0219934	0.0252308
0X00000025		0.625977	0.710938	0.0136719	0.710938	0.652344	-0.3125	0.144531	1	0.644531	0.00488281	0.0171505	0.0194783
